ts,bx,by,bz
1717632119800,-1.1,113.9,-38.1
1717632119820,1.3,113.4,-34.8
1717632119840,4.9,115.5,-31.5
1717632119860,8.3,117.1,-27.3
1717632119880,9.5,116.2,-25.8
1717632119900,13.1,116.5,-24.9
1717632119920,17.7,118.5,-21.9
1717632119940,23.3,117.3,-19.0
1717632119960,27.2,116.4,-15.7
1717632119980,30.4,116.9,-12.0
1717632120000,33.8,116.9,-8.3
1717632120020,37.3,117.7,-6.1
1717632120040,40.3,118.8,-3.2
1717632120060,44.9,119.8,-0.7
1717632120080,50.0,119.7,3.4
1717632120100,55.5,119.2,6.2
1717632120120,58.3,117.0,7.1
1717632120140,61.3,118.4,10.0
1717632120160,65.8,117.9,10.3
1717632120180,69.5,117.3,10.0
1717632120200,72.8,116.7,15.8
1717632120220,75.3,117.2,17.2
1717632120240,77.7,116.1,19.9
1717632120260,80.7,116.7,22.5
1717632120280,84.0,117.6,25.9
1717632120300,88.7,117.9,28.0
1717632120320,93.4,117.8,28.4
1717632120340,96.0,118.9,31.0
1717632120360,101.0,117.2,32.0
1717632120380,103.0,115.7,32.9
1717632120400,108.0,113.7,33.9
1717632120420,110.2,114.4,36.7
1717632120440,112.8,114.9,42.8
1717632120460,116.7,113.0,45.3
1717632120480,121.4,113.8,50.0
1717632120500,124.3,113.8,50.8
1717632120520,126.9,112.4,51.9
1717632120540,130.1,110.3,55.0
1717632120560,132.4,107.4,60.6
1717632120580,135.8,105.5,62.5
1717632120600,139.2,105.2,64.3
1717632120620,143.2,101.9,66.3
1717632120640,147.2,102.3,69.5
1717632120660,149.2,101.9,71.6
1717632120680,149.4,100.6,73.3
1717632120700,152.5,100.2,75.5
1717632120720,157.1,99.0,78.3
1717632120740,158.6,96.5,79.2
1717632120760,160.0,93.9,80.2
1717632120780,162.7,92.3,83.3
1717632120800,165.2,90.6,83.3
1717632120820,168.8,88.5,84.8
1717632120840,170.4,87.6,87.6
1717632120860,172.0,84.8,89.6
1717632120880,174.8,84.5,92.0
1717632120900,175.0,83.3,92.7
1717632120920,176.0,81.3,96.3
1717632120940,179.5,80.3,99.6
1717632120960,181.2,79.8,101.8
1717632120980,182.2,77.8,105.4
1717632121000,184.2,76.6,107.8
1717632121020,185.4,75.7,109.5
1717632121040,188.6,73.9,110.9
1717632121060,189.3,72.5,114.9
1717632121080,191.0,71.4,118.0
1717632121100,191.0,68.9,118.8
1717632121120,190.9,66.9,119.7
1717632121140,191.6,63.5,121.0
1717632121160,192.6,62.4,123.4
1717632121180,193.0,59.7,126.2
1717632121200,193.4,57.7,127.3
1717632121220,194.0,56.8,130.3
1717632121240,193.6,55.2,132.4
1717632121260,195.0,53.2,135.1
1717632121280,193.9,51.4,135.6
1717632121300,194.3,49.8,137.9
1717632121320,193.1,47.0,139.8
1717632121340,193.2,46.5,142.5
1717632121360,194.8,43.6,144.4
1717632121380,193.1,41.8,145.2
1717632121400,191.4,40.1,147.7
1717632121420,191.1,37.4,147.5
1717632121440,190.3,34.5,146.3
1717632121460,188.0,32.0,147.7
1717632121480,187.1,30.4,151.4
1717632121500,186.8,27.8,153.5
1717632121520,185.7,24.3,155.2
1717632121540,185.1,23.2,158.5
1717632121560,183.8,21.5,160.4
1717632121580,183.6,18.7,165.0
1717632121600,183.9,15.6,164.8
1717632121620,185.1,13.9,167.0
1717632121640,182.2,11.8,170.2
1717632121660,181.0,9.8,168.7
1717632121680,179.4,7.9,171.3
1717632121700,177.6,5.3,171.8
1717632121720,175.5,2.7,171.9
1717632121740,172.3,-0.0,173.2
1717632121760,170.8,-2.1,173.7
1717632121780,168.2,-5.6,174.5
1717632121800,168.2,-9.1,173.6
1717632121820,164.3,-12.6,175.5
1717632121840,163.0,-14.2,176.3
1717632121860,159.3,-15.2,178.4
1717632121880,158.3,-19.6,180.8
1717632121900,157.6,-22.3,182.7
1717632121920,154.0,-23.4,183.1
1717632121940,152.1,-24.8,182.2
1717632121960,147.3,-26.6,185.0
1717632121980,145.5,-27.2,185.7
1717632122000,141.2,-26.7,187.7
1717632122020,137.1,-29.6,189.3
1717632122040,134.6,-30.3,190.2
1717632122060,132.6,-33.2,189.1
1717632122080,128.4,-33.7,187.8
1717632122100,124.0,-36.7,189.9
1717632122120,119.9,-39.5,191.2
1717632122140,118.7,-41.1,189.9
1717632122160,116.2,-42.2,192.3
1717632122180,113.3,-44.4,194.5
1717632122200,111.1,-47.1,194.3
1717632122220,104.7,-49.0,195.6
1717632122240,101.9,-52.0,196.9
1717632122260,98.2,-54.3,197.0
1717632122280,95.2,-54.4,199.8
1717632122300,90.2,-57.8,197.8
1717632122320,86.3,-60.0,198.7
1717632122340,82.5,-62.4,199.5
1717632122360,79.2,-67.2,199.3
1717632122380,74.1,-69.7,198.6
1717632122400,70.1,-71.4,199.6
1717632122420,66.5,-71.1,200.5
1717632122440,64.1,-72.4,199.6
1717632122460,62.9,-74.0,198.6
1717632122480,59.8,-75.3,200.7
1717632122500,54.5,-76.9,201.9
1717632122520,49.7,-77.2,201.5
1717632122540,44.8,-79.7,200.7
1717632122560,41.5,-84.0,200.7
1717632122580,36.8,-85.9,200.2
1717632122600,30.8,-88.1,200.9
1717632122620,28.3,-87.9,201.3
1717632122640,24.0,-90.5,200.3
1717632122660,19.8,-91.2,198.4
1717632122680,16.1,-92.2,197.6
1717632122700,13.4,-93.7,197.3
1717632122720,9.9,-93.5,198.7
1717632122740,5.3,-93.9,196.6
1717632122760,2.0,-95.7,195.6
1717632122780,-1.5,-97.6,196.8
1717632122800,-7.1,-99.5,196.4
1717632122820,-10.8,-100.6,196.0
1717632122840,-16.2,-104.0,192.4
1717632122860,-20.9,-103.9,190.8
1717632122880,-25.4,-105.4,192.1
1717632122900,-28.8,-107.3,194.3
1717632122920,-33.2,-107.2,196.6
1717632122940,-33.8,-109.1,197.0
1717632122960,-38.9,-109.0,196.3
1717632122980,-41.3,-111.2,195.7
1717632123000,-45.5,-112.4,194.6
1717632123020,-46.7,-114.3,194.6
1717632123040,-51.0,-114.3,192.7
1717632123060,-54.9,-114.2,191.5
1717632123080,-58.1,-114.8,189.8
1717632123100,-60.9,-115.7,188.5
1717632123120,-64.6,-116.1,188.6
1717632123140,-67.0,-116.2,186.5
1717632123160,-69.5,-117.8,185.7
1717632123180,-73.3,-118.2,185.9
1717632123200,-77.1,-118.1,184.4
1717632123220,-80.6,-118.9,184.7
1717632123240,-82.8,-119.5,183.0
1717632123260,-83.5,-119.1,180.4
1717632123280,-87.7,-118.4,179.5
1717632123300,-90.0,-117.1,178.6
1717632123320,-91.2,-116.9,178.5
1717632123340,-94.1,-117.7,178.6
1717632123360,-97.5,-117.0,177.5
1717632123380,-98.6,-117.1,175.6
1717632123400,-102.9,-115.8,175.4
1717632123420,-103.9,-118.6,175.9
1717632123440,-106.2,-118.2,174.2
1717632123460,-107.7,-117.4,172.9
1717632123480,-107.6,-118.5,170.2
1717632123500,-110.5,-117.0,169.2
1717632123520,-112.7,-117.7,168.9
1717632123540,-116.5,-117.5,167.2
1717632123560,-117.4,-117.3,167.2
1717632123580,-119.1,-117.9,163.6
1717632123600,-121.1,-116.6,164.0
1717632123620,-122.2,-115.0,161.2
1717632123640,-122.5,-115.8,160.3
1717632123660,-123.5,-115.4,157.3
1717632123680,-122.1,-115.8,156.5
1717632123700,-123.8,-115.9,152.9
1717632123720,-125.3,-115.0,149.9
1717632123740,-127.0,-114.2,148.4
1717632123760,-127.8,-112.9,148.0
1717632123780,-129.6,-112.6,147.7
1717632123800,-129.4,-111.8,145.3
1717632123820,-130.8,-108.8,140.7
1717632123840,-128.9,-109.3,138.3
1717632123860,-129.8,-108.1,136.6
1717632123880,-130.7,-107.8,131.4
1717632123900,-129.9,-106.3,129.5
1717632123920,-129.7,-105.6,129.5
1717632123940,-129.5,-105.5,128.5
1717632123960,-131.4,-105.0,128.4
1717632123980,-130.2,-106.2,125.0
1717632124000,-130.1,-103.8,124.0
1717632124020,-129.4,-101.4,120.1
1717632124040,-128.8,-100.4,119.2
1717632124060,-127.9,-99.4,116.3
1717632124080,-126.7,-96.8,115.0
1717632124100,-124.6,-94.9,116.0
1717632124120,-121.7,-93.6,115.0
1717632124140,-120.9,-91.5,113.7
1717632124160,-121.0,-89.6,111.0
1717632124180,-119.5,-89.0,108.6
1717632124200,-118.3,-87.2,106.2
1717632124220,-116.5,-84.1,104.2
1717632124240,-114.4,-83.8,98.9
1717632124260,-111.7,-84.0,95.8
1717632124280,-109.9,-82.6,93.5
1717632124300,-110.6,-82.6,94.1
1717632124320,-109.4,-79.5,91.4
1717632124340,-107.8,-76.0,90.1
1717632124360,-106.2,-75.5,87.3
1717632124380,-103.6,-73.4,83.2
1717632124400,-100.8,-72.6,82.4
1717632124420,-97.9,-70.0,79.4
1717632124440,-93.5,-68.5,78.7
1717632124460,-92.6,-66.4,77.6
1717632124480,-89.9,-63.2,76.5
1717632124500,-90.2,-61.4,74.3
1717632124520,-87.4,-58.7,71.5
1717632124540,-85.3,-56.4,67.0
1717632124560,-84.1,-56.2,65.6
1717632124580,-80.6,-56.0,64.6
1717632124600,-77.0,-53.5,62.7
1717632124620,-74.0,-51.5,60.2
1717632124640,-71.2,-48.9,58.8
1717632124660,-69.5,-45.6,56.7
1717632124680,-65.8,-43.1,53.6
1717632124700,-61.6,-41.3,48.6
1717632124720,-59.7,-39.0,44.6
1717632124740,-55.3,-37.2,40.7
1717632124760,-51.5,-34.3,36.3
1717632124780,-48.9,-31.4,31.5
1717632124800,-46.0,-29.2,31.1
1717632124820,-43.4,-25.9,29.3
1717632124840,-40.3,-23.4,27.0
1717632124860,-36.8,-20.3,23.8
1717632124880,-33.4,-19.2,20.6
1717632124900,-30.7,-16.4,16.3
1717632124920,-26.6,-15.1,14.0
1717632124940,-24.1,-13.4,13.1
1717632124960,-20.6,-10.1,10.6
1717632124980,-16.0,-8.9,9.2
1717632125000,-12.0,-6.8,7.8
1717632125020,-8.5,-4.9,5.4
1717632125040,-5.8,-1.9,3.7
1717632125060,-2.9,-0.4,0.6
1717632125080,2.4,1.4,0.0
1717632125100,7.4,3.6,-2.2
1717632125120,10.4,4.7,-4.1
1717632125140,14.4,8.2,-5.7
1717632125160,16.7,9.4,-10.2
1717632125180,18.6,11.8,-13.7
1717632125200,21.3,13.3,-15.6
1717632125220,24.8,15.1,-18.0
1717632125240,28.4,17.0,-20.1
1717632125260,32.9,19.6,-22.4
1717632125280,36.0,20.0,-25.4
1717632125300,38.9,22.4,-27.4
1717632125320,41.4,25.2,-32.4
1717632125340,45.5,27.3,-33.3
1717632125360,48.2,30.3,-36.7
1717632125380,49.8,32.9,-39.6
1717632125400,53.6,36.0,-44.6
1717632125420,56.3,37.8,-43.7
1717632125440,58.6,39.0,-45.7
1717632125460,61.5,41.1,-48.1
1717632125480,64.2,43.0,-52.0
1717632125500,68.2,46.0,-52.0
1717632125520,71.3,48.7,-54.0
1717632125540,75.0,50.7,-56.2
1717632125560,77.9,53.9,-56.2
1717632125580,80.8,56.6,-59.3
1717632125600,83.7,58.3,-62.3
1717632125620,83.2,59.3,-64.9
1717632125640,85.1,60.3,-68.8
1717632125660,88.0,61.4,-71.5
1717632125680,90.0,63.9,-72.3
1717632125700,92.3,66.0,-75.6
1717632125720,94.9,69.5,-78.3
1717632125740,97.8,69.9,-78.8
1717632125760,100.2,71.2,-82.0
1717632125780,101.4,72.5,-84.0
1717632125800,105.0,73.6,-88.4
1717632125820,107.2,74.9,-90.4
1717632125840,109.3,77.6,-92.5
1717632125860,109.9,80.7,-93.5
1717632125880,111.2,81.4,-93.8
1717632125900,113.0,82.2,-98.9
1717632125920,113.4,84.6,-102.8
1717632125940,114.4,85.8,-104.2
1717632125960,115.3,87.4,-107.7
1717632125980,117.3,88.3,-108.2
1717632126000,118.0,89.0,-111.0
1717632126020,118.7,91.7,-112.5
1717632126040,120.5,92.2,-115.5
1717632126060,123.0,95.2,-117.8
1717632126080,123.3,97.6,-119.7
1717632126100,124.3,99.8,-121.2
1717632126120,126.0,101.7,-122.3
1717632126140,127.7,103.3,-123.9
1717632126160,128.7,104.7,-125.1
1717632126180,130.6,104.8,-128.4
1717632126200,129.0,105.1,-130.7
1717632126220,129.9,106.2,-131.9
1717632126240,130.4,107.7,-132.9
1717632126260,129.4,108.4,-136.8
1717632126280,130.0,108.6,-138.9
1717632126300,129.7,108.2,-141.4
1717632126320,130.0,109.3,-144.0
1717632126340,130.4,111.5,-146.4
1717632126360,128.4,113.1,-146.4
1717632126380,127.7,113.4,-147.8
1717632126400,126.2,115.8,-148.2
1717632126420,123.1,117.2,-149.0
1717632126440,122.4,116.5,-150.5
1717632126460,123.0,116.9,-152.3
1717632126480,123.2,117.7,-153.7
1717632126500,121.3,118.1,-156.3
1717632126520,118.5,118.6,-156.7
1717632126540,118.1,120.0,-157.8
1717632126560,118.4,119.9,-161.3
1717632126580,117.8,121.2,-162.3
1717632126600,116.1,119.6,-162.9
1717632126620,115.3,119.5,-163.5
1717632126640,112.9,119.8,-164.9
1717632126660,109.7,120.7,-166.2
1717632126680,108.0,120.5,-167.6
1717632126700,106.6,118.4,-169.5
1717632126720,104.2,119.9,-169.4
1717632126740,102.9,118.8,-171.4
1717632126760,100.5,120.4,-172.9
1717632126780,98.3,120.7,-175.1
1717632126800,96.1,120.8,-175.7
1717632126820,94.4,120.5,-177.9
1717632126840,89.7,119.5,-178.5
1717632126860,88.2,118.8,-180.8
1717632126880,86.4,116.8,-183.4
1717632126900,82.9,116.5,-183.3
1717632126920,82.2,117.7,-183.0
1717632126940,81.3,117.8,-182.7
1717632126960,78.2,116.6,-183.2
1717632126980,75.1,116.2,-186.0
1717632127000,73.6,115.5,-185.8
1717632127020,69.4,114.9,-187.6
1717632127040,66.7,114.6,-188.8
1717632127060,62.4,114.6,-189.8
1717632127080,59.9,113.5,-191.3
1717632127100,56.2,113.1,-191.1
1717632127120,52.6,111.6,-192.2
1717632127140,50.5,110.7,-192.4
1717632127160,46.6,109.4,-192.7
1717632127180,40.9,109.0,-193.1
1717632127200,38.3,107.9,-194.2
1717632127220,35.2,107.6,-192.3
1717632127240,30.7,106.2,-194.4
1717632127260,25.6,104.3,-194.2
1717632127280,21.3,104.5,-194.4
1717632127300,17.9,102.3,-196.1
1717632127320,13.8,103.4,-198.1
1717632127340,10.7,101.6,-198.5
1717632127360,7.7,101.2,-196.9
1717632127380,4.0,98.7,-199.4
1717632127400,-0.4,98.3,-199.0
1717632127420,-5.7,98.5,-200.0
1717632127440,-9.3,95.8,-197.9
1717632127460,-13.9,94.9,-197.3
1717632127480,-18.4,92.5,-197.5
1717632127500,-21.0,91.5,-198.9
1717632127520,-25.0,90.8,-198.3
1717632127540,-29.9,88.9,-197.4
1717632127560,-32.9,87.3,-196.4
1717632127580,-35.9,84.9,-195.7
1717632127600,-38.3,82.3,-197.3
1717632127620,-40.4,79.4,-196.0
1717632127640,-45.1,77.6,-195.8
1717632127660,-49.3,77.2,-195.8
1717632127680,-51.9,75.7,-195.9
1717632127700,-56.3,74.6,-195.3
1717632127720,-62.5,73.0,-196.1
1717632127740,-67.3,70.4,-196.6
1717632127760,-70.6,69.1,-196.9
1717632127780,-75.0,67.4,-197.5
1717632127800,-79.5,64.8,-197.4
1717632127820,-83.5,62.1,-198.8
1717632127840,-87.0,59.2,-197.5
1717632127860,-91.5,59.6,-197.3
1717632127880,-94.8,58.0,-196.2
1717632127900,-98.2,55.5,-196.0
1717632127920,-101.7,52.3,-195.4
1717632127940,-107.0,50.5,-193.8
1717632127960,-110.3,49.3,-193.9
1717632127980,-111.8,48.3,-193.5
1717632128000,-115.6,46.6,-193.7
1717632128020,-118.8,44.2,-192.7
1717632128040,-122.7,42.5,-190.0
1717632128060,-123.9,39.9,-189.9
1717632128080,-128.4,36.1,-189.9
1717632128100,-131.7,34.3,-187.6
1717632128120,-133.6,31.8,-185.7
1717632128140,-135.0,29.6,-186.0
1717632128160,-139.0,26.4,-186.1
1717632128180,-140.8,23.6,-185.3
1717632128200,-142.8,22.0,-183.3
1717632128220,-146.9,21.3,-182.4
1717632128240,-149.3,20.0,-181.7
1717632128260,-152.5,17.4,-179.7
1717632128280,-156.7,14.4,-177.8
1717632128300,-159.5,13.7,-178.4
1717632128320,-164.5,11.2,-177.1
1717632128340,-166.7,9.3,-176.6
1717632128360,-168.2,6.0,-174.4
1717632128380,-170.2,3.7,-172.2
1717632128400,-171.2,2.4,-172.5
1717632128420,-172.7,0.2,-171.1
1717632128440,-175.7,-3.3,-168.3
1717632128460,-177.0,-4.8,-167.5
1717632128480,-180.1,-6.9,-166.9
1717632128500,-180.9,-9.4,-166.1
1717632128520,-183.7,-12.6,-165.5
1717632128540,-185.7,-13.6,-164.6
1717632128560,-185.9,-16.2,-161.8
1717632128580,-188.8,-19.3,-161.4
1717632128600,-189.7,-20.7,-159.5
1717632128620,-190.8,-20.3,-157.7
1717632128640,-193.8,-22.6,-155.5
1717632128660,-193.1,-25.1,-156.0
1717632128680,-194.0,-28.4,-153.4
1717632128700,-194.1,-31.7,-152.2
1717632128720,-193.4,-36.0,-148.5
1717632128740,-193.8,-37.5,-146.2
1717632128760,-194.9,-39.5,-143.7
1717632128780,-196.0,-42.2,-142.5
1717632128800,-195.8,-43.6,-140.7
1717632128820,-197.4,-45.9,-137.8
1717632128840,-196.4,-47.0,-136.2
1717632128860,-194.6,-48.7,-134.8
1717632128880,-194.0,-51.5,-131.9
1717632128900,-194.9,-54.7,-130.4
1717632128920,-195.1,-56.1,-127.9
1717632128940,-197.6,-57.2,-126.5
1717632128960,-195.3,-59.4,-125.0
1717632128980,-193.0,-61.1,-122.9
1717632129000,-193.2,-62.4,-120.2
1717632129020,-192.8,-65.9,-119.8
1717632129040,-190.7,-69.7,-118.1
1717632129060,-188.5,-72.6,-116.5
1717632129080,-188.3,-73.0,-116.1
1717632129100,-187.2,-73.7,-114.6
1717632129120,-186.1,-73.4,-112.7
1717632129140,-185.6,-76.3,-110.8
1717632129160,-184.3,-77.2,-110.1
1717632129180,-183.0,-78.1,-108.5
1717632129200,-181.0,-79.6,-105.0
1717632129220,-178.9,-80.0,-99.7
1717632129240,-176.9,-82.0,-97.2
1717632129260,-175.5,-83.9,-94.8
1717632129280,-174.0,-87.4,-91.9
1717632129300,-173.4,-90.3,-90.0
1717632129320,-171.5,-92.1,-87.3
1717632129340,-168.3,-94.6,-87.6
1717632129360,-166.1,-95.4,-87.0
1717632129380,-163.7,-98.9,-85.9
1717632129400,-161.2,-97.8,-81.8
1717632129420,-159.1,-97.0,-81.7
1717632129440,-156.4,-99.3,-79.4
1717632129460,-154.1,-99.7,-74.6
1717632129480,-150.9,-99.4,-73.9
1717632129500,-146.8,-102.5,-71.8
1717632129520,-145.7,-103.3,-67.5
1717632129540,-143.3,-102.5,-66.3
1717632129560,-140.3,-104.2,-64.7
1717632129580,-138.6,-107.8,-62.6
1717632129600,-133.8,-108.2,-58.8
1717632129620,-130.7,-108.8,-56.2
1717632129640,-127.4,-110.7,-52.7
1717632129660,-122.6,-112.1,-51.1
1717632129680,-118.1,-112.7,-48.2
1717632129700,-114.2,-112.3,-45.1
1717632129720,-110.6,-112.4,-43.0
1717632129740,-106.8,-111.3,-40.0
1717632129760,-103.6,-110.1,-38.1
1717632129780,-102.4,-111.3,-36.0
1717632129800,-100.8,-113.4,-33.5
1717632129820,-95.5,-113.9,-31.0
1717632129840,-92.7,-113.4,-30.9
1717632129860,-89.7,-114.7,-27.9
1717632129880,-85.5,-116.4,-26.3
1717632129900,-83.3,-115.8,-24.4
1717632129920,-81.0,-116.0,-22.1
1717632129940,-76.7,-117.2,-19.1
1717632129960,-74.4,-116.5,-15.9
1717632129980,-72.4,-116.9,-16.0
1717632130000,-67.2,-117.3,-13.3
1717632130020,-61.8,-117.2,-8.5
1717632130040,-60.5,-117.8,-4.3
1717632130060,-55.5,-117.5,-2.2
1717632130080,-50.6,-116.6,2.8
1717632130100,-45.8,-116.2,2.9
1717632130120,-41.5,-116.0,4.1
1717632130140,-37.6,-118.8,6.7
1717632130160,-33.5,-119.1,8.8
1717632130180,-30.0,-118.8,11.8
1717632130200,-26.5,-118.3,14.0
1717632130220,-23.5,-119.1,16.6
1717632130240,-20.4,-120.6,20.8
1717632130260,-17.5,-119.7,21.2
1717632130280,-13.6,-118.1,22.5
1717632130300,-11.0,-116.7,26.8
1717632130320,-6.3,-115.6,30.6
1717632130340,-3.6,-114.9,33.1
1717632130360,0.5,-112.9,37.4
1717632130380,4.2,-112.1,38.8
1717632130400,7.2,-112.1,41.5
1717632130420,9.7,-112.9,46.8
1717632130440,14.3,-112.5,44.9
1717632130460,19.6,-111.8,48.4
1717632130480,24.3,-111.2,50.5
1717632130500,27.9,-109.3,52.4
1717632130520,30.4,-111.1,54.7
1717632130540,33.1,-108.5,56.0
1717632130560,34.4,-108.9,58.7
1717632130580,37.4,-109.4,63.4
1717632130600,40.8,-106.1,63.4
1717632130620,43.2,-103.5,68.5
1717632130640,49.1,-102.5,69.2
1717632130660,51.9,-102.5,69.3
1717632130680,54.5,-102.1,70.8
1717632130700,57.5,-100.8,74.0
1717632130720,60.9,-99.6,76.2
1717632130740,63.3,-98.0,77.0
1717632130760,65.8,-97.5,81.2
1717632130780,67.8,-96.0,83.5
1717632130800,71.2,-93.6,84.9
1717632130820,73.4,-90.5,86.7
1717632130840,74.6,-90.0,88.6
1717632130860,78.4,-88.1,89.5
1717632130880,79.2,-86.9,91.7
1717632130900,81.5,-85.8,98.8
1717632130920,84.2,-85.3,100.3
1717632130940,86.1,-85.3,101.3
1717632130960,88.4,-83.7,102.5
1717632130980,89.0,-80.2,106.6
1717632131000,89.0,-78.7,109.1
1717632131020,90.1,-78.0,109.8
1717632131040,91.6,-76.1,110.5
1717632131060,93.2,-73.6,113.5
1717632131080,95.2,-72.4,114.7
1717632131100,96.5,-68.5,116.3
1717632131120,96.4,-68.4,118.2
1717632131140,96.7,-65.7,119.8
1717632131160,95.6,-63.0,121.6
1717632131180,98.6,-61.1,127.6
1717632131200,97.6,-58.0,130.4
1717632131220,98.9,-56.0,129.6
1717632131240,100.1,-53.0,130.4
1717632131260,100.9,-52.1,133.3
1717632131280,102.6,-51.7,134.7
1717632131300,103.2,-49.6,136.2
1717632131320,102.9,-46.6,138.5
1717632131340,101.9,-42.0,142.6
1717632131360,101.6,-37.1,142.5
1717632131380,101.0,-38.5,145.1
1717632131400,102.3,-37.8,145.8
1717632131420,101.8,-34.5,148.0
1717632131440,104.2,-33.0,150.4
1717632131460,102.8,-30.7,152.3
1717632131480,101.6,-27.5,156.4
1717632131500,100.6,-25.0,158.7
1717632131520,100.2,-21.1,161.4
1717632131540,100.5,-19.3,161.0
1717632131560,98.9,-19.5,161.8
1717632131580,98.7,-17.4,164.5
1717632131600,97.8,-15.4,164.6
1717632131620,95.5,-12.6,164.7
1717632131640,94.6,-11.4,166.1
1717632131660,94.8,-9.2,167.5
1717632131680,93.3,-7.2,168.1
1717632131700,92.8,-5.5,171.0
1717632131720,90.6,-3.1,173.6
1717632131740,88.7,-0.9,172.4
1717632131760,86.1,2.0,175.0
1717632131780,83.7,3.1,176.2
1717632131800,82.5,8.0,175.6
1717632131820,79.3,9.8,177.8
1717632131840,76.0,11.3,179.1
1717632131860,73.7,11.9,179.5
1717632131880,71.5,13.7,180.7
1717632131900,69.6,14.6,181.2
1717632131920,66.9,20.2,183.2
1717632131940,64.3,23.3,183.4
1717632131960,61.0,24.0,184.0
1717632131980,57.3,27.8,186.3
1717632132000,54.9,30.1,188.4
1717632132020,53.3,31.4,189.4
1717632132040,50.3,33.2,190.3
1717632132060,48.6,34.5,191.0
1717632132080,44.2,36.3,191.2
1717632132100,41.9,38.0,190.1
1717632132120,41.3,39.3,192.2
1717632132140,38.5,42.3,191.2
1717632132160,36.7,45.5,191.1
1717632132180,32.2,45.8,192.0
1717632132200,31.0,46.7,192.6
1717632132220,26.1,50.1,191.7
1717632132240,22.8,52.1,196.0
1717632132260,17.6,55.3,197.6
1717632132280,15.1,58.0,198.9
1717632132300,9.1,61.4,199.8
1717632132320,5.1,62.7,198.7
1717632132340,3.2,62.6,197.9
1717632132360,2.6,64.7,196.4
1717632132380,1.1,65.4,196.5
1717632132400,-3.7,68.2,197.0
1717632132420,-7.1,70.5,196.8
1717632132440,-11.1,72.2,196.6
1717632132460,-14.4,75.1,199.2
1717632132480,-18.5,75.4,197.3
1717632132500,-22.0,75.8,200.2
1717632132520,-24.8,78.0,201.2
1717632132540,-30.6,77.3,199.6
1717632132560,-33.8,78.7,199.6
1717632132580,-35.3,82.4,199.7
1717632132600,-39.3,84.7,198.2
1717632132620,-43.3,86.1,199.2
1717632132640,-45.7,88.7,200.4
1717632132660,-49.8,91.2,199.4
1717632132680,-51.7,93.3,196.8
1717632132700,-56.0,93.7,195.5
1717632132720,-60.6,95.7,196.4
1717632132740,-63.4,96.4,196.6
1717632132760,-67.6,99.2,197.6
1717632132780,-70.9,99.7,199.1
1717632132800,-73.8,100.4,198.6
1717632132820,-76.4,102.3,198.5
1717632132840,-80.6,102.4,197.9
1717632132860,-84.7,103.9,197.7
1717632132880,-87.5,106.6,197.9
1717632132900,-91.7,107.9,196.8
1717632132920,-95.5,106.0,196.0
1717632132940,-98.1,105.5,196.4
1717632132960,-101.6,107.9,195.8
1717632132980,-105.5,110.0,194.2
1717632133000,-108.4,111.9,192.2
1717632133020,-110.2,114.1,193.5
1717632133040,-114.6,113.2,193.0
1717632133060,-116.1,115.5,191.7
1717632133080,-118.4,116.1,189.8
1717632133100,-120.8,114.9,189.1
1717632133120,-123.5,114.8,188.3
1717632133140,-125.5,114.9,185.2
1717632133160,-129.0,114.7,184.5
1717632133180,-131.8,115.1,184.0
1717632133200,-133.3,115.9,182.7
1717632133220,-136.3,116.5,181.6
1717632133240,-138.5,117.4,180.6
1717632133260,-142.3,119.1,180.2
1717632133280,-144.2,119.3,177.3
1717632133300,-145.4,119.1,177.6
1717632133320,-146.7,118.4,177.9
1717632133340,-149.5,118.6,177.0
1717632133360,-151.4,119.5,175.2
1717632133380,-153.2,120.9,174.5
1717632133400,-155.2,120.7,171.9
1717632133420,-157.0,120.6,169.5
1717632133440,-158.9,120.1,170.1
1717632133460,-159.4,117.6,168.1
1717632133480,-158.9,118.8,168.7
1717632133500,-161.2,118.9,170.3
1717632133520,-163.5,118.7,169.3
1717632133540,-163.4,117.9,167.8
1717632133560,-164.4,116.5,164.3
1717632133580,-164.3,116.4,162.6
1717632133600,-165.3,117.1,162.1
1717632133620,-164.6,116.6,160.1
1717632133640,-165.7,114.3,156.0
1717632133660,-166.1,115.8,156.5
1717632133680,-167.6,117.9,154.6
1717632133700,-167.2,116.3,153.0
1717632133720,-166.8,115.0,151.6
1717632133740,-168.8,114.4,149.8
1717632133760,-168.9,112.4,147.2
1717632133780,-167.2,112.2,145.3
1717632133800,-167.4,111.6,142.4
1717632133820,-166.0,110.1,140.7
1717632133840,-165.4,107.9,139.0
1717632133860,-165.4,107.3,137.4
1717632133880,-164.6,107.7,135.3
1717632133900,-164.5,107.4,134.8
1717632133920,-165.1,106.7,130.9
1717632133940,-163.7,106.6,129.4
1717632133960,-163.5,103.5,126.2
1717632133980,-164.2,103.1,126.8
1717632134000,-161.7,100.8,125.5
1717632134020,-160.5,101.5,121.6
1717632134040,-159.3,100.6,116.5
1717632134060,-158.3,99.6,114.9
1717632134080,-157.7,98.6,114.0
1717632134100,-155.5,96.9,112.2
1717632134120,-153.1,94.2,111.7
1717632134140,-150.8,93.1,110.0
1717632134160,-147.4,91.4,106.3
1717632134180,-145.3,88.7,102.0
1717632134200,-145.4,88.1,100.2
1717632134220,-141.2,87.0,98.8
1717632134240,-140.3,86.1,98.7
1717632134260,-138.2,86.7,97.4
